dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
TwoLeadECG,0.9762949956101844,0.971027216856892,0.9947322212467076,0.9841966637401228,0.9912203687445128,0.9868305531167691,0.9877085162423178,0.9736611062335382,0.9850746268656716,0.9798068481123792
TwoPatterns,0.99975,0.99925,0.9985,0.99925,0.999,0.999,0.99975,0.99975,0.99975,0.99825
UWaveGestureLibraryX,0.7152428810720268,0.7085427135678392,0.7222222222222222,0.7082635399218313,0.7093802345058626,0.7054718034617532,0.72250139586823,0.7065884980457845,0.7160804020100503,0.711892797319933
UWaveGestureLibraryY,0.6418202121719709,0.6381909547738693,0.6429369067560022,0.653824678950307,0.6292573981016192,0.6284198771635957,0.6418202121719709,0.6426577331099944,0.6407035175879398,0.644891122278057
UWaveGestureLibraryZ,0.664712451144612,0.6641541038525963,0.6641541038525963,0.6535455053042992,0.6582914572864321,0.664712451144612,0.6574539363484088,0.6619207146845337,0.6702959240647682,0.666108319374651
UWaveGestureLibraryAll,0.8026242322724735,0.8132328308207705,0.8160245672808487,0.7967615857063093,0.8015075376884422,0.8299832495812395,0.7967615857063093,0.7945281965382468,0.8051367950865438,0.8291457286432161
Wafer,0.9939974042829332,0.9944841012329656,0.9943218689162882,0.995619727449708,0.9941596365996106,0.9961064243997404,0.995619727449708,0.9961064243997404,0.9944841012329656,0.9948085658663206
Wine,0.4629629629629629,0.4814814814814814,0.4629629629629629,0.5925925925925926,0.5,0.5,0.5,0.5185185185185185,0.5925925925925926,0.4444444444444444
WordSynonyms,0.609717868338558,0.6175548589341693,0.6332288401253918,0.6269592476489029,0.6285266457680251,0.609717868338558,0.6285266457680251,0.6442006269592476,0.6332288401253918,0.6520376175548589
Worms,0.7402597402597403,0.6623376623376623,0.7012987012987013,0.7142857142857143,0.7142857142857143,0.7402597402597403,0.7662337662337663,0.7142857142857143,0.6623376623376623,0.7272727272727273
WormsTwoClass,0.7792207792207793,0.7142857142857143,0.7792207792207793,0.7532467532467533,0.8311688311688312,0.7662337662337663,0.7922077922077922,0.7532467532467533,0.7922077922077922,0.7272727272727273
Yoga,0.8236666666666667,0.8173333333333334,0.833,0.814,0.838,0.8193333333333334,0.8113333333333334,0.816,0.827,0.82
